X_avg 	Y_series0	
-0.0433136	2.999999999708791e-05	
-1.17331	-875.2559070000002	
-2.3033099999999997	-1629.0776279699999	
-3.43331	-2266.294615	
-4.56331	-2832.3463840000004	
-5.69331	-3339.3641	
-6.82331	-3791.4191600000004	
-7.95331	-4189.706569999999	
-9.08331	-4532.4764	
-10.2133	-4824.27874	
-11.343300000000001	-5075.187099999999	
-12.4733	-5291.75467	
-13.6033	-5474.30641	
-14.7333	-5647.418120000001	
-15.8633	-5782.42134	
-16.993299999999998	-5896.342320000001	
-18.123299999999997	-5998.565509999999	
-19.2533	-6091.194400000001	
-20.3833	-6175.74104	
-21.513299999999997	-6253.80412	
-22.6433	-6326.281550000001	
-23.7733	-6393.34007	
-24.903299999999998	-6454.37149	
-26.0333	-6510.60917	
-27.1633	-6562.9412299999985	
-28.293300000000002	-6611.980020000001	
-29.4233	-6657.893300000001	
-30.5533	-6700.828050000001	
-31.6833	-6741.527380000001	
-32.8133	-6779.14935	
-33.9433	-6814.99846	
-35.0733	-6849.81378	
-36.2033	-6882.649800000001	
-37.3333	-6913.7424200000005	
-38.4633	-6942.699839999999	
-39.5933	-6969.551250000001	
-40.723299999999995	-6994.096049999999	
-41.853300000000004	-7015.92723	
-42.9833	-7035.181380000001	
-44.1133	-7051.85594	
-45.2433	-7066.33604	
-46.3733	-7078.506070000001	
-47.503299999999996	-7088.14869	
-48.6333	-7096.056119999999	
-49.7633	-7101.038149999999	
-50.8933	-7103.714660000001	
-52.0233	-7104.988689999999	
-53.1533	-7105.13146	
-54.2833	-7104.509829999999	
-55.4133	-7103.116580000001	
-56.543299999999995	-7101.017650000001	
-57.6733	-7098.08987	
-58.8033	-7094.264979999999	
-59.9333	-7089.619320000001	
-61.0633	-7084.357389999999	
-62.1933	-7077.912090000001	
-63.323299999999996	-7069.444099999999	
-64.4533	-7060.772559000002	
-65.5833	-7051.629754	
-66.7133	-7042.2347389999995	
-67.8433	-7032.584173	
-68.9733	-7022.638236999999	
-70.10329999999999	-7012.483190000002	
-71.2333	-7002.1081300000005	
-72.36330000000001	-6986.72685	
-73.49329999999999	-6971.620410000001	
-74.6233	-6960.192400000001	
-75.7533	-6951.30045	
-76.8833	-6942.40608	
-78.01329999999999	-6933.515039999998	
-79.1433	-6923.56303	
-80.2733	-6913.84692	
-81.4033	-6904.292129999999	
-82.5333	-6894.04795	
-83.66329999999999	-6883.071739999999	
-84.7933	-6871.56222	
-85.9233	-6859.534290000001	
-87.05330000000001	-6846.37457	
-88.1833	-6833.596259999999	
-89.3133	-6821.384999999999	
-90.44330000000001	-6808.75589	
-91.5733	-6795.084660000001	
-92.7033	-6780.998600000001	
-93.8333	-6766.54102	
-94.9633	-6751.044569999999	
-96.09330000000001	-6734.360320000001	
-97.2233	-6715.61693	
-98.3533	-6696.224790000002	
-99.4833	-6676.44462	
-100.613	-6656.085590000001	
-101.743	-6636.198100000001	
-102.873	-6615.64875	
-104.003	-6594.69611	
-105.13300000000001	-6573.38191	
-106.26299999999999	-6551.45226	
-107.393	-6529.06706	
-108.523	-6506.680050000001	
-109.653	-6484.455029999999	
-110.783	-6462.06206	
-111.913	-6438.984160000002	
-113.043	-6414.041180000001	
-114.173	-6388.037940000001	
-115.303	-6360.9493600000005	
-116.43299999999999	-6332.229920000002	
-117.563	-6302.947580000001	
-118.69300000000001	-6271.94664	
-119.823	-6239.4508399999995	
-120.953	-6206.01919	
-122.083	-6171.794350000001	
-123.21300000000001	-6136.03014	
-124.34299999999999	-6098.675840000001	
-125.473	-6059.6263100000015	
-126.603	-6018.68518	
-127.73300000000002	-5975.883539999999	
-128.863	-5929.889109999999	
-129.993	-5877.083680000001	
-131.123	-5811.60359	
-132.25300000000001	-5723.339819999999	
-133.383	-5596.39509	
-134.513	-5422.835210000001	
-135.643	-5204.990634	
-136.773	-4949.401197000001	
-137.903	-4711.284291999999	
-139.033	-4558.543967	
-140.163	-4457.3759718	
-141.293	-4377.425336	
-142.423	-4310.5225293	
-143.553	-4252.107359	
-144.683	-4199.882845	
-145.813	-4153.736614	
-146.94299999999998	-4112.407752	
-148.073	-4074.5933640000003	
-149.203	-4038.719989	
-150.333	-4003.7694640000004	
-151.463	-3972.5500189999993	
-152.59300000000002	-3943.691976	
-153.72299999999998	-3918.199698	
-154.85299999999998	-3895.6547180000007	
-155.983	-3874.8449729999998	
-157.113	-3855.0069399999998	
-158.243	-3835.312135	
-159.373	-3817.330528	
-160.50300000000001	-3804.313875	
-161.633	-3793.097818	
-162.76299999999998	-3782.0494819999994	
-163.893	-3770.8973450000003	
-165.023	-3759.745114	
-166.153	-3748.0833889999994	
-167.283	-3735.836783	
-168.413	-3723.543682	
-169.543	-3711.9445419999997	
-170.673	-3702.5881549999995	
-171.803	-3694.56365	
-172.933	-3687.44964	
-174.063	-3680.9534379999996	
-175.19299999999998	-3675.2162340000004	
-176.323	-3670.1068350000005	
-177.453	-3665.2934450000002	
-178.583	-3660.960277	
-179.71300000000002	-3542.1652900000004	
-180.84300000000002	-3428.9706289999995	
-181.97299999999998	-3428.3778300000004	
-183.10299999999998	-3429.8981140000005	
-184.233	-3431.5436570000006	
-185.363	-3432.733687	
-186.493	-3433.5653429999998	
-187.62300000000002	-3434.099259	
-188.75300000000001	-3434.4932240000007	
-189.883	-3434.689831	
-191.01299999999998	-3434.7417549999996	
-192.143	-3434.62033	
-193.273	-3434.274067	
-194.403	-3433.8394390000003	
-195.53300000000002	-3433.351398	
-196.663	-3432.7748319999996	
-197.793	-3432.1271300000003	
-198.923	-3431.0017550000002	
-200.053	-3429.4842750000003	
-201.183	-3427.650798	
-202.313	-3424.0364449999997	
-203.443	-3420.320823	
-204.573	-3416.6199290000004	
-205.703	-3412.7600750000006	
-206.833	-3408.8238760000004	
-207.96300000000002	-3404.811294	
-209.093	-3401.6380079999994	
-210.22299999999998	-3396.8737509999996	
-211.353	-3391.936818	
-212.483	-3386.8749299999995	
-213.613	-3382.116661	
-214.743	-3378.192972	
-215.87300000000002	-3375.105269	
-217.00300000000001	-3372.7341530000003	
-218.13299999999998	-3371.896309	
-219.263	-3372.556685999999	
-220.393	-3375.5918229999997	
-221.523	-3377.3914409999998	
-222.653	-3380.9986010000007	
-223.78300000000002	-3382.689683	
-224.913	-3381.7425409999996	
-226.043	-3379.623275	
-227.173	-3377.055902	
-228.303	-3373.479858	
-229.433	-3368.578576	
-230.563	-3362.7148970000007	
-231.693	-3357.0969200000004	
-232.823	-3345.3909809999996	
-233.953	-3323.6299379999996	
-235.083	-3292.8691759999997	
-236.213	-3265.6406629999997	
-237.343	-3235.284204	
-238.47299999999998	-3201.59459	
-239.603	-3179.1225100000006	
-240.733	-3177.3074199999996	
-241.863	-3175.9985	
-242.993	-3172.5343999999996	
-244.12300000000002	-3161.4019200000007	
-245.253	-3196.2950399999995	
-246.38299999999998	-3149.13344	
-247.513	-3128.7623400000007	
-248.643	-3109.05992	
-249.773	-3092.8110200000006	
-250.903	-3072.6040000000003	
-252.03300000000002	-3041.9213100000006	
-253.16300000000004	-3010.5288399999995	
-254.29299999999998	-2978.6318800000004	
-255.423	-2947.3526999999995	
-256.553	-2915.68609	
-257.683	-2886.07541	
-258.813	-2856.03519	
-259.943	-2826.2813899999996	
-261.073	-2798.0232300000002	
-262.20300000000003	-2769.7753000000002	
-263.33299999999997	-2738.90496	
-264.463	-2708.6842500000007	
-265.593	-2682.1300900000006	
-266.723	-2658.2645000000007	
-267.853	-2636.0067200000003	
-268.983	-2616.5480200000006	
-270.113	-2596.3735899999992	
-271.243	-2575.5033900000003	
-272.373	-2554.876120000001	
-273.503	-2532.69125	
-274.63300000000004	-2510.5676200000003	
-275.763	-2498.0654800000007	
-276.893	-2484.95778	
-278.023	-2471.5287470000007	
-279.15299999999996	-2456.1379399999996	
-280.283	-2441.1842400000005	
-281.413	-2428.4324300000003	
-282.543	-2410.1825	
-283.673	-2391.6477899999995	
-284.803	-2375.16129	
-285.933	-2360.0023699999997	
-287.063	-2344.9109099999996	
-288.193	-2331.69245	
-289.323	-2318.0626300000004	
-290.45300000000003	-2305.5735299999997	
-291.58299999999997	-2292.8440099999993	
-292.713	-2282.2551400000007	
-293.843	-2272.5737799999997	
-294.973	-2261.76629	
-296.103	-2252.31424	
-297.233	-2244.0319499999996	
-298.363	-2236.0148700000004	
-299.493	-2228.15216	
-300.623	-2219.90454	
-301.753	-2211.42814	
-302.88300000000004	-2203.8890299999994	
-304.013	-2196.80154	
-305.143	-2190.13724	
-306.273	-2183.31122	
-307.40299999999996	-2177.92757	
-308.533	-2167.57111	
-309.663	-2163.2770699999996	
-310.793	-2158.3124899999993	
-311.923	-2153.35885	
-313.053	-2148.4001199999993	
-314.183	-2143.60738	
-315.313	-2138.6088999999997	
-316.443	-2133.62372	
-317.573	-2128.6580599999993	
-318.70300000000003	-2124.50336	
-319.83299999999997	-2120.6950100000004	
-320.963	-2117.3424999999997	
-322.093	-2110.4339999999997	
-323.22299999999996	-2106.9532900000004	
-324.353	-2102.7999800000007	
-325.483	-2097.94083	
-326.613	-2093.0099600000003	
-327.743	-2088.84536	
-328.87300000000005	-2084.8969800000004	
-330.003	-2081.0061800000003	
-331.13300000000004	-2077.84002	
-332.263	-2074.46634	
-333.393	-2070.6211300000004	
-334.523	-2067.0716199999997	
-335.65299999999996	-2063.5527700000002	
-336.783	-2059.8726400000005	
-337.913	-2056.3681	
-339.043	-2052.9064	
-340.173	-2049.43466	
-341.303	-2045.6359100000004	
-342.433	-2041.34503	
-343.563	-2036.02297	
-344.69300000000004	-2031.2676499999995	
-345.823	-2026.8794699999999	
-346.95300000000003	-2022.91057	
-348.08299999999997	-2017.7519299999997	
-349.213	-2012.0696300000002	
-350.343	-2007.20883	
-351.47299999999996	-2002.4975999999997	
-352.603	-1996.7268800000002	
-353.733	-1992.6199700000002	
-354.863	-1989.0499200000004	
-355.993	-1984.2266400000003	
-357.12300000000005	-1979.98763	
-358.253	-1975.26757	
-359.383	-1970.3255700000002	
-360.513	-1964.9661800000001	
-361.643	-1959.44135	
-362.773	-1953.9236	
-363.90299999999996	-1948.6668800000002	
-365.033	-1943.3303199999998	
-366.163	-1937.9264200000002	
-367.293	-1932.84215	
-368.423	-1923.61536	
-369.553	-1912.2780400000004	
-370.683	-1899.85198	
-371.813	-1890.2592	
-372.94300000000004	-1880.2474900000002	
-374.073	-1877.39726	
-375.20300000000003	-1872.8421100000003	
-376.33299999999997	-1867.24056	
-377.46299999999997	-1860.81352	
-378.593	-1853.7340000000004	
-379.72299999999996	-1847.0990199999999	
-380.853	-1840.8734	
-381.983	-1835.0140700000002	
-383.113	-1829.1009699999995	
-384.243	-1821.9739700000002	
-385.37300000000005	-1814.31898	
-386.503	-1807.16205	
-387.633	-1800.7635199999997	
-388.76300000000003	-1794.8027299999997	
-389.893	-1789.6563500000002	
-391.023	-1784.76819	
-392.15299999999996	-1780.4620699999998	
-393.283	-1770.91939	
-394.413	-1767.8355100000003	
-395.543	-1763.1525199999999	
-396.673	-1764.7266300000003	
-397.803	-1762.5258	
-398.933	-1760.5685899999999	
-400.063	-1758.24534	
-401.19300000000004	-1755.5387000000003	
-402.323	-1751.9604199999999	
-403.45300000000003	-1746.3291399999996	
-404.583	-1741.2283699999998	
-405.71299999999997	-1735.1858699999998	
-406.843	-1729.0068099999999	
-407.97299999999996	-1720.72184	
-409.103	-1715.2166199999997	
-410.233	-1709.5173800000002	
-411.363	-1704.5488300000002	
-412.493	-1699.77865	
-413.623	-1694.63267	
-414.753	-1688.2856000000002	
-415.883	-1681.9611499999999	
-417.01300000000003	-1676.16093	
-418.143	-1670.0834699999998	
-419.273	-1664.22138	
-420.403	-1658.1796000000002	
-421.533	-1653.0331199999996	
-422.663	-1647.85187	
-423.79299999999995	-1643.4382800000003	
-424.923	-1639.24687	
-426.053	-1635.2590599999999	
-427.183	-1630.40131	
-428.313	-1626.23352	
-429.44300000000004	-1617.9467300000006	
-430.573	-1595.8836900000001	
-431.70300000000003	-1572.94958	
-432.833	-1554.6515700000002	
-433.96299999999997	-1536.4124299999999	
-435.093	-1515.2355100000002	
-436.223	-1495.8910899999998	
-437.353	-1479.0606699999998	
-438.483	-1464.9917300000002	
-439.613	-1452.45991	
-440.743	-1440.20656	
-441.873	-1428.4274400000002	
-443.003	-1417.1431799999998	
-444.133	-1405.4627800000003	
-445.26300000000003	-1394.2966100000003	
-446.393	-1383.6447100000003	
-447.523	-1372.7377700000002	
-448.653	-1358.26484	
-449.783	-1353.07157	
