X_avg 	Y_series0	
0.0247197	-5.500000000252525e-05	
-0.79528	-563.29107	
-1.61528	-1094.3117200000002	
-2.43528	-1565.8499140000001	
-3.25528	-1949.2360200000003	
-4.075279999999999	-2302.9138800000005	
-4.8952800000000005	-2633.49241	
-5.71528	-2938.7277799999997	
-6.53528	-3219.1643000000004	
-7.35528	-3471.9982999999997	
-8.17528	-3699.0328000000004	
-8.99528	-3903.9799000000007	
-9.81528	-4087.9864000000002	
-10.6353	-4251.3528	
-11.4553	-4403.248800000001	
-12.2753	-4543.8342999999995	
-13.0953	-4676.316400000001	
-13.9153	-4802.885300000001	
-14.7353	-4923.0740000000005	
-15.555299999999999	-5033.7802	
-16.3753	-5138.8468	
-17.1953	-5241.8329	
-18.0153	-5341.546	
-18.8353	-5437.7328	
-19.6553	-5529.317800000001	
-20.475299999999997	-5616.817899999999	
-21.2953	-5699.8538	
-22.1153	-5816.8868	
-22.935299999999998	-5913.0556	
-23.7553	-5998.141300000001	
-24.575300000000002	-6075.073	
-25.3953	-6145.491499999999	
-26.2153	-6210.194200000001	
-27.035300000000003	-6269.2384999999995	
-27.8553	-6323.3319	
-28.6753	-6373.126799999999	
-29.4953	-6419.7325	
-30.3153	-6463.313700000001	
-31.1353	-6504.3076	
-31.955299999999998	-6542.628299999999	
-32.7753	-6577.5134	
-33.5953	-6607.541	
-34.4153	-6634.349	
-35.235299999999995	-6655.0421000000015	
-36.055299999999995	-6668.292200000001	
-36.8753	-6676.1469	
-37.6953	-6678.449	
-38.5153	-6669.669200000001	
-39.3353	-6650.5209	
-40.1553	-6626.974199999999	
-40.9753	-6600.077499999999	
-41.7953	-6570.760599999999	
-42.615300000000005	-6539.847699999999	
-43.435300000000005	-6507.7174	
-44.2553	-6474.5719	
-45.0753	-6440.3625	
-45.8953	-6406.2049	
-46.7153	-6371.6518000000015	
-47.5353	-6336.341200000001	
-48.3553	-6300.1262	
-49.1753	-6263.7986	
-49.9953	-6227.3442	
-50.8153	-6190.6736	
-51.6353	-6153.446599999999	
-52.4553	-6116.438800000001	
-53.275299999999994	-6080.008299999999	
-54.0953	-6044.704	
-54.9153	-6008.864499999999	
-55.7353	-5973.210900000001	
-56.5553	-5937.2891	
-57.375299999999996	-5901.3199	
-58.195299999999996	-5865.600400000001	
-59.015299999999996	-5830.008000000001	
-59.835300000000004	-5794.5109	
-60.655300000000004	-5759.202099999999	
-61.4753	-5724.2004	
-62.2953	-5689.5498	
-63.1153	-5655.3212	
-63.9353	-5621.0483	
-64.7553	-5586.4149	
-65.5753	-5554.5406	
-66.3953	-5521.9302	
-67.2153	-5489.2302	
-68.0353	-5457.3794	
-68.8553	-5425.4217	
-69.6753	-5394.487600000001	
-70.4953	-5363.163299999999	
-71.3153	-5331.582800000001	
-72.1353	-5301.2103	
-72.9553	-5271.2453000000005	
-73.7753	-5240.1094	
-74.59530000000001	-5208.902000000001	
-75.4153	-5178.495400000001	
-76.23530000000001	-5149.004200000001	
-77.05529999999999	-5119.3521	
-77.8753	-5089.9313	
-78.69529999999999	-5060.6675000000005	
-79.5153	-5031.610600000001	
-80.3353	-5002.747400000001	
-81.1553	-4974.0704000000005	
-81.9753	-4945.574100000001	
-82.7953	-4917.2405	
-83.6153	-4888.991500000001	
-84.4353	-4860.8472	
-85.2553	-4832.8505000000005	
-86.0753	-4805.0012	
-86.89529999999999	-4777.2807	
-87.7153	-4749.6361	
-88.53529999999999	-4722.09	
-89.3553	-4694.6894999999995	
-90.1753	-4667.487200000001	
-90.9953	-4640.365	
-91.81530000000001	-4612.9247000000005	
-92.6353	-4585.582299999999	
-93.45530000000001	-4558.318500000001	
-94.2753	-4531.3532000000005	
-95.0953	-4504.5945	
-95.9153	-4477.8637	
-96.7353	-4451.1881	
-97.5553	-4424.5178000000005	
-98.3753	-4397.8969	
-99.1953	-4371.345799999999	
-100.015	-4344.830000000001	
-100.835	-4318.3821	
-101.655	-4291.9743	
-102.475	-4265.655000000001	
-103.295	-4239.549099999999	
-104.115	-4213.7793	
-104.935	-4188.05534	
-105.755	-4162.637210000001	
-106.575	-4137.35707	
-107.39500000000001	-4111.92304	
-108.215	-4086.2814599999997	
-109.03500000000001	-4060.6597699999993	
-109.85499999999999	-4035.17682	
-110.675	-4009.6723099999995	
-111.49499999999999	-3983.1424000000006	
-112.315	-3960.622280000001	
-113.135	-3945.27012	
-113.955	-3931.9785500000003	
-114.775	-3919.722859999999	
-115.595	-3908.29837	
-116.415	-3896.6174400000004	
-117.235	-3885.3330200000005	
-118.05499999999999	-3874.326289999999	
-118.875	-3863.35163	
-119.695	-3852.5774900000006	
-120.515	-3841.7434500000004	
-121.335	-3831.0696799999996	
-122.155	-3820.2679700000003	
-122.975	-3809.63856	
-123.795	-3801.25118	
-124.61500000000001	-3797.6220499999995	
-125.43499999999999	-3798.6590400000005	
-126.25500000000001	-3800.9402500000006	
-127.07499999999999	-3803.57944	
-127.89500000000001	-3806.6847	
-128.715	-3809.8481600000005	
-129.53500000000003	-3812.93314	
-130.355	-3815.47876	
-131.175	-3817.6243500000005	
-131.995	-3819.5820100000005	
-132.815	-3820.70552	
